,index,tconst,titleType,primaryName,originalName,isAdult,yearOfRelease,Duration,genres,averageRating,numVotes
83,1037690,tt7228346,tvEpisode,Exit Wounds,Exit Wounds,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,2024
84,1037691,tt7228352,tvEpisode,Acceptable Losses,Acceptable Losses,False,2018,42,"Drama,Mystery,Sci-Fi",8.3,1931
85,1051401,tt7550154,tvEpisode,Ruin,Ruin,False,2018,43,"Crime,Drama,Mystery",8.7,1296
86,1056816,tt7668842,movie,Enes Batur,Enes Batur Hayal mi Gerçek mi?,False,2018,110,Comedy,4.0,54385
87,1035192,tt7177774,tvEpisode,For Whom the Pig Oinks,For Whom the Pig Oinks,False,2018,28,"Action,Adventure,Animation",6.9,1839
88,1049367,tt7508732,tvEpisode,Unmasked,Unmasked,False,2018,42,"Action,Adventure,Crime",8.4,1883
89,1049366,tt7508730,tvEpisode,Level Two,Level Two,False,2018,42,"Action,Adventure,Crime",8.2,1908
90,1056770,tt7667348,tvEpisode,Someday...,Someday...,False,2018,43,"Comedy,Drama",8.3,1272
91,1009879,tt6665296,tvEpisode,Fight or Flight,Fight or Flight,False,2018,43,"Drama,Mystery,Sci-Fi",8.8,2935
92,1009880,tt6665300,tvEpisode,IFF,IFF,False,2018,42,"Drama,Mystery,Sci-Fi",9.0,2760
93,1009881,tt6665304,tvEpisode,Assured Destruction,Assured Destruction,False,2018,44,"Drama,Mystery,Sci-Fi",8.9,2565
94,1035101,tt7175992,movie,School's Out,L'heure de la sortie,False,2018,104,"Drama,Mystery,Thriller",6.5,2398
95,1051048,tt7542576,movie,All About Nina,All About Nina,False,2018,97,"Comedy,Drama,Romance",6.1,2260
96,1037859,tt7231194,movie,R.I.P.,Ee. Ma. Yau,False,2018,120,"Comedy,Drama",8.3,2945
97,986181,tt6197494,movie,Malicious,Malicious,False,2018,90,"Horror,Thriller",5.0,3429
98,1055757,tt7643978,tvEpisode,The Captain,The Captain,False,2018,42,"Crime,Drama,Romance",7.5,2820
99,1049371,tt7508746,tvEpisode,The Demon,The Demon,False,2018,42,"Action,Adventure,Crime",8.6,2008
100,1009891,tt6665354,tvEpisode,Fallen World,Fallen World,False,2018,44,"Drama,Mystery,Sci-Fi",8.7,2121
101,1056820,tt7668870,movie,Searching,Searching,False,2018,102,"Drama,Mystery,Thriller",7.6,143269
102,999765,tt6439886,tvEpisode,Six Thanksgivings,Six Thanksgivings,False,2018,44,"Comedy,Drama,Romance",8.3,1005
103,1051189,tt7545524,movie,Ben Is Back,Ben Is Back,False,2018,103,Drama,6.7,18981
104,1051191,tt7545566,movie,Skate Kitchen,Skate Kitchen,False,2018,106,Drama,6.8,3823
105,1009892,tt6665358,tvEpisode,Congregation,Congregation,False,2018,42,"Drama,Mystery,Sci-Fi",8.9,2164
106,1009893,tt6665364,tvEpisode,Abaddon's Gate,Abaddon's Gate,False,2018,41,"Drama,Mystery,Sci-Fi",9.5,3092
107,1049356,tt7508628,tvEpisode,Due Process,Due Process,False,2018,42,"Action,Adventure,Crime",8.3,1858
108,1009882,tt6665310,tvEpisode,Reload,Reload,False,2018,44,"Drama,Mystery,Sci-Fi",8.9,2545
109,1009883,tt6665312,tvEpisode,Triple Point,Triple Point,False,2018,43,"Drama,Mystery,Sci-Fi",9.4,3215
110,1009884,tt6665314,tvEpisode,Immolation,Immolation,False,2018,43,"Drama,Mystery,Sci-Fi",9.5,3233
111,1009885,tt6665320,tvEpisode,Delta-V,Delta-V,False,2018,44,"Drama,Mystery,Sci-Fi",8.5,2519
112,1009889,tt6665350,tvEpisode,Dandelion Sky,Dandelion Sky,False,2018,42,"Drama,Mystery,Sci-Fi",9.0,2294
113,1051130,tt7543930,movie,In Safe Hands,Pupille,False,2018,110,Drama,7.2,1641
114,1009887,tt6665326,tvEpisode,It Reaches Out,It Reaches Out,False,2018,43,"Drama,Mystery,Sci-Fi",9.2,2726
115,1009888,tt6665336,tvEpisode,Intransigence,Intransigence,False,2018,43,"Drama,Mystery,Sci-Fi",8.4,2169
116,1049363,tt7508706,tvEpisode,The Longbow Hunters,The Longbow Hunters,False,2018,42,"Action,Adventure,Crime",8.0,2085
117,1049362,tt7508702,tvEpisode,"Elseworlds, Part 2","Elseworlds, Part 2",False,2018,42,"Action,Adventure,Crime",9.0,2654
118,1050728,tt7536382,tvEpisode,Islands: Part One,Islands: Part One,False,2018,43,Drama,7.8,1720
119,999766,tt6439888,tvEpisode,The Beginning Is the End Is the Beginning,The Beginning Is the End Is the Beginning,False,2018,44,"Comedy,Drama,Romance",8.9,1173
120,1009444,tt6653454,tvEpisode,Chapter 9,Chapter 9,False,2018,61,"Action,Drama,Sci-Fi",8.6,2500
121,1026102,tt6987770,movie,Destination Wedding,Destination Wedding,False,2018,87,"Comedy,Drama,Romance",6.0,25338
122,1025709,tt6980546,movie,Bharath Ane Nenu,Bharat Ane Nenu,False,2018,173,"Action,Drama",7.7,15608
123,1025736,tt6980876,tvEpisode,Safe and Sound,Safe and Sound,False,2018,48,Sci-Fi,7.4,2024
124,1061742,tt7783730,tvEpisode,Annihilator,Annihilator,False,2018,42,"Crime,Drama,Mystery",7.9,1232
125,1009467,tt6653944,tvEpisode,Chapter 10,Chapter 10,False,2018,53,"Action,Drama,Sci-Fi",8.6,1930
126,1050178,tt7525778,movie,The Package,The Package,False,2018,94,"Comedy,Thriller",5.5,14547
127,1057320,tt7681824,movie,We the Animals,We the Animals,False,2018,94,Drama,6.9,3851
128,1038426,tt7242142,movie,Blindspotting,Blindspotting,False,2018,95,"Comedy,Crime,Drama",7.4,27770
129,1050324,tt7528698,tvEpisode,He's Dead,He's Dead,False,2018,42,"Crime,Drama,Mystery",9.0,1231
130,1057327,tt7681970,movie,After Porn Ends 3,After Porn Ends 3,False,2018,86,Documentary,5.3,1497
131,1057324,tt7681902,movie,Won't You Be My Neighbor?,Won't You Be My Neighbor?,False,2018,95,"Biography,Documentary",8.4,23498
132,1050337,tt7529124,tvEpisode,Daybreak,Daybreak,False,2018,92,"Drama,Western",8.5,1652
133,1000312,tt6450186,movie,I Can Only Imagine,I Can Only Imagine,False,2018,110,"Biography,Drama,Family",7.4,14547
134,1050346,tt7529294,tvEpisode,Tongue Tied,Tongue Tied,False,2018,42,Drama,5.8,1193
135,1000894,tt6463494,movie,3 Days in Quiberon,3 Tage in Quiberon,False,2018,115,Drama,6.9,1200
